Geschlecht,Familienstand,Alter,Kinder,Bildungsstand,Beruf,Jahresgehalt,Immobilienbesitz,Versicherungstarif
maennlich,ledig,46,0,Lehre,kein,9800,keiner,Tarif B
weiblich,ledig,14,0,Keine,kein,0,keiner,ablehnen
weiblich,verheiratet,35,0,Lehre,angestellt,68925,Einfamilienhaus,Tarif B
maennlich,ledig,19,0,Keine,kein,8900,keiner,Tarif C
weiblich,verheiratet,18,0,Keine,selbständig,0,keiner,Tarif B
maennlich,verheiratet,63,0,Lehre,arbeitend,32870,keiner,Tarif B
maennlich,ledig,61,0,Bachelor,selbständig,70400,Mehrfamilienhaus,Tarif B
weiblich,ledig,26,0,Promotion,verbeamtet,85210,keiner,Tarif B
weiblich,ledig,21,0,Realschule,kein,9500,keiner,Tarif C
weiblich,verwitwet,81,1,Hauptschule,selbständig,63300,Eigentumswohnung,Tarif B
weiblich,verheiratet,79,0,Abitur,im Ruhestand,27500,Eigentumswohnung,Tarif C
maennlich,verheiratet,65,0,Lehre,arbeitend,13175,Einfamilienhaus,Tarif B
weiblich,verheiratet,51,0,Lehre,angestellt,78880,keiner,Tarif A
weiblich,ledig,11,0,Keine,kein,0,Einfamilienhaus,ablehnen
weiblich,verwitwet,76,0,Master,arbeitend,36220,keiner,Tarif C
weiblich,verheiratet,53,0,Bachelor,angestellt,68955,keiner,Tarif B
maennlich,verwitwet,35,3,Lehre,arbeitend,26225,Eigentumswohnung,Tarif A
maennlich,verwitwet,37,2,Bachelor,angestellt,111295,Villa,Tarif A
weiblich,verheiratet,24,1,Lehre,kein,9100,keiner,Tarif B
weiblich,verheiratet,48,0,Lehre,verbeamtet,80820,Einfamilienhaus,Tarif A
weiblich,ledig,13,0,Keine,kein,0,keiner,ablehnen
weiblich,verwitwet,69,0,Hauptschule,im Ruhestand,27700,keiner,Tarif D
maennlich,verheiratet,44,0,Lehre,kein,9800,keiner,Tarif B
weiblich,ledig,22,0,Bachelor,verbeamtet,84690,keiner,Tarif B
weiblich,verheiratet,25,1,Lehre,arbeitend,26700,keiner,Tarif A
